id,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,isBrick,isConcreteSlab,isPremium,isLowQual,isApartment,isBlock,isTenement,age,predicted_price
391deb0b7baf24299a0ba43b4ff94bb4,37.0,2.0,3,10,52.169167,21.031389,7,8.0,0,0,0,0,0,2,0,0,1,1,0,0,2700,0,1,0,0,0,0,0,49,3240.2318653859797
321fd7f6dfb8994c626d174262c17a8d,40.0,2.0,1,2,52.1884,20.8705,10,1.0,0,3,0,0,0,4,0,1,0,0,1,0,3400,1,0,0,0,1,0,0,2,3441.1664666666666
e8944dd00cf51257f29ba653ac11e9c2,40.0,2.0,1,3,52.25667945,21.05146193,4,38.0,0,0,0,0,0,0,0,0,1,1,0,0,4200,1,0,1,0,0,0,1,88,3551.0501077098706
55457e3f072cd070e8961e0dd19ae3aa,42.89,2.0,2,3,52.2774017,21.08295088,7,6.0,1,2,0,0,0,0,0,1,1,1,0,0,2900,0,0,1,0,0,1,0,6,3199.8505731186942
ccf20486772458711ef0beef0dbadf5c,135.0,4.0,8,8,52.20812,21.00262,2,15.0,0,0,0,0,0,0,0,0,0,1,0,0,16000,0,0,0,0,0,0,0,16,10198.185835392464
a51c88761734173d3d070b57b5bbf90f,40.0,2.0,1,3,52.25667945,21.05146193,4,38.0,0,0,0,0,0,0,0,0,1,1,0,0,4200,1,0,1,0,0,0,1,88,3551.0501077098706
1c1458f8c12b2a53e340f5520b570726,69.0,3.0,2,5,52.231389,20.972222,2,40.0,0,0,0,0,0,1,0,1,0,1,0,0,5000,1,0,0,0,1,0,0,1,7076.417988095239
30e13354d13dfaf91f158ac3307ff971,51.0,2.0,6,7,52.2393589,20.9366297,4,25.0,0,0,0,0,0,0,0,1,1,1,0,0,3000,1,0,1,0,1,0,0,22,3866.15228332583
cde834a0a52c1b186dcfa4f1953d01a8,140.0,4.0,2,5,52.1730466,21.0510475,7,8.0,0,0,0,0,0,2,0,1,1,1,0,0,10500,1,0,0,0,1,0,0,16,10565.359713270424
3d8cbd2c1b226ff39270718dfba93e62,37.12,2.0,1,3,52.19442,21.01328,4,29.0,0,0,0,0,0,0,0,0,1,0,0,0,2260,0,0,0,0,0,1,0,66,3105.137955363032
ed4b9e94652d80304c06fe679197e94c,40.0,2.0,10,15,52.2386,21.0031,0,51.0,0,0,0,0,0,0,0,0,0,1,0,0,4100,0,0,0,0,0,1,0,26,3950.6956510859627
c5022516000bde243bc391b1bfa141a1,118.0,4.0,3,5,52.22732705,21.02288723,1,54.0,0,0,0,0,0,0,0,0,1,1,0,0,16500,1,0,1,0,0,0,1,99,11782.800525048106
10f5b29fbddf5f6c0fe67bb7f9e62f54,55.48,2.0,4,4,52.1590809,21.0854212,9,10.0,0,2,0,0,0,2,0,1,1,1,0,0,4000,1,0,1,0,1,0,0,6,3922.241696432685
b8133185993b0859c0f3d9bb06e63b20,109.0,5.0,4,4,52.2184806,21.0156407,1,55.0,0,0,0,0,0,0,0,0,1,1,0,1,10000,1,0,0,0,0,0,1,87,9849.015217444945
b7a4b68255fa8a840ca0f4554d71df3e,129.0,6.0,5,7,52.2289813,21.0090005,0,94.0,0,0,0,0,0,0,0,0,1,1,0,0,15000,1,0,0,0,0,0,1,111,13539.971323809525
85e43e77d6446ac08309e24470fcd994,36.0,2.0,2,2,52.3241164,21.0566719,10,11.0,0,3,0,0,0,4,0,1,1,1,0,0,2650,0,0,0,0,0,0,0,14,2878.4097698412697
3d5dbb0057b13ac3d120b2cb1a945af1,53.0,2.0,2,7,52.1938574,20.9882469,4,14.0,0,0,0,0,0,1,0,1,0,1,0,0,3000,0,0,1,0,0,1,0,18,4146.274958705604
7af68e834339a224b4d3f2b2daa38a03,62.5,3.0,5,5,52.2270167,21.0041061,0,70.0,0,0,0,0,0,0,0,0,0,1,0,0,3600,1,0,1,0,0,0,1,124,6312.008574786915
d04b69aa6720515125e1e7f4074a94d3,47.0,2.0,3,5,52.13496845,21.07037065,11,28.0,0,0,0,0,0,0,0,1,1,1,0,0,2980,1,0,1,0,0,0,0,21,3268.6268782899206
3972dafaea272e2195d64ddd2f5f8d37,102.0,4.0,3,6,52.1885093,20.9932267,4,25.0,0,0,0,0,0,0,0,1,0,1,0,1,12000,1,0,1,0,1,0,0,12,11018.787661165225
fcffb787d2cd50ddabd1e63b2c3064d5,55.0,2.0,1,4,52.22530212,21.00431442,0,60.0,0,0,0,0,0,0,0,0,0,1,0,0,5300,1,0,0,0,0,0,1,94,4698.718875854085
ac1a8ac83914379460ce1972a8128847,44.0,2.0,5,8,52.22632,20.97813,1,22.0,0,0,0,0,0,1,0,0,1,1,1,0,5900,1,0,0,0,1,0,0,3,5009.132435482756
8ef7fefd741d627346eaab16943fe9ab,62.0,2.0,3,3,52.2211111,21.1419444,9,5.0,0,2,0,0,0,3,0,1,1,0,0,0,3550,1,0,1,0,0,1,0,18,3686.204738095238
a2f2ae23d76d45fc1352a6baf70f8cae,60.43,3.0,1,3,52.1999276,20.960294,4,17.0,0,1,0,0,0,1,0,1,1,0,0,1,4400,1,0,1,0,0,1,0,24,4083.1705952380953
092dc01fc4bc91a5425676cae6c1214e,64.0,2.0,3,3,52.20831,21.01261,2,21.0,0,0,0,0,0,0,0,0,1,0,0,1,4200,1,0,0,0,0,0,1,74,4528.919315893543
81398f15466d0c37ede3133a85743c05,38.0,2.0,1,10,52.2255,21.0032,0,57.0,0,0,0,0,0,0,0,0,1,1,0,1,3600,0,0,0,0,0,1,0,37,3740.8349485236995
4276195314c5c19e6e2f3d5a2040dd91,36.0,2.0,3,7,52.23423361,21.01066591,0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,3200,1,0,1,0,0,0,1,74,3977.529671593732
47e8211d4e86c0d9b211bc738ed2b920,111.08,5.0,6,9,52.20664,21.03392,3,21.0,0,0,0,0,0,1,0,1,1,1,0,0,10000,1,0,0,0,1,0,0,16,9026.765439948942
8909fd76da4413efeb4fb77b48e692e1,78.0,3.0,2,4,52.2488,21.0874,6,23.0,0,0,0,0,0,0,0,1,1,0,0,1,5300,1,0,0,0,1,0,0,25,5818.964071558646
36af859a5330ea0b594ce6e30d3b4a0d,103.0,3.0,2,5,52.2297,21.0122,0,113.0,0,0,0,0,0,0,0,0,0,1,0,1,11000,1,0,0,1,0,1,0,93,8430.556293650794
f6f76665a4f0c95111c2206474acd36d,72.38,3.0,2,3,52.2377,21.05508,3,30.0,0,0,0,0,0,0,0,0,1,0,0,0,4900,1,0,0,0,0,0,1,88,5873.74761169211
64bfbc4c4bc4d7bae0f528a6b301c3aa,35.0,2.0,4,4,52.2384606,21.0540583,3,26.0,0,0,0,0,0,0,0,0,1,1,0,1,2800,1,0,1,0,0,1,0,40,3282.8904791220675
8277b0d06167abff92992cfe1a8fbf57,54.2,2.0,2,4,52.1986,20.9788,4,23.0,0,0,0,0,0,1,0,0,1,0,0,0,3000,0,0,0,0,0,1,0,24,3953.540613582244
4bef1ad88b9b60289994fed5d1d57fda,35.0,1.0,11,12,52.1404028,21.0537767,10,28.0,0,0,0,0,0,1,0,0,1,1,0,0,2750,0,0,0,0,0,0,0,23,3061.8654440147984
6823a9294cfc8ccdc48d768d61c08f53,35.0,1.0,11,12,52.1404028,21.0537767,10,28.0,0,0,0,0,0,1,0,0,1,1,0,0,2750,0,0,0,0,0,0,0,31,3011.0447773481314
0dfcbf86124857dc2062bca1314fb13e,46.43,2.0,1,4,52.3156151,20.9540089,9,12.0,0,0,0,0,0,0,0,1,1,1,0,0,2600,0,0,0,0,0,0,0,21,3435.8818455296305
d40384d2497406de9853967ee79d086f,46.43,2.0,1,4,52.3158835,20.9536449,9,11.0,0,0,0,0,0,0,0,1,1,1,0,0,2600,0,0,0,0,0,0,0,21,3439.296369339154
